# Incoming morph	analyses	stem part	continuations...	#<- HEADERS
V_BACK_STRONG_PRESENT	Vact|Ima|Xine	{MB}ma{MB}ssa	V_BACK_CLIT_OPT
V_BACK_STRONG_PRESENT	Vact|Ima|Xins	{MB}ma	V_BACK_POSS
V_BACK_STRONG_PRESENT	Vact|Ima|Xins	{MB}ma{MB}n	V_BACK_CLIT_OPT
V_BACK_STRONG_PRESENT	Vact|Tpres|Ppl3	{MB}vat	V_BACK_CLIT_OPT
V_BACK_TUPCP_0	Dtu	{DB}	A_VIMMATTU
V_BACK_TUPCP_0	Vpss|Cnut|Npl	{MB}u{MB}t	#
V_BACK_TUPCP_0	Vpss|Cnut|Nsg	{MB}tu	#
V_BACK_TUPCP_0	Vpss|Tpast|Ppe4|Ncon	{MB}tu	V_BACK_CLIT_KIN_KAAN_OPT
V_BACK_TUPCP_D	Dtu	{DB}	A_VIIPALOITU
V_BACK_TUPCP_D	Vpss|Cnut|Npl	{MB}dut	#
V_BACK_TUPCP_D	Vpss|Cnut|Nsg	{MB}tu	#
V_BACK_TUPCP_D	Vpss|Tpast|Ppe4|Ncon	{MB}tu	V_BACK_CLIT_KIN_KAAN_OPT
V_BACK_TUPCP_L	Dtu	{DB}	A_PARANNELTU
V_BACK_TUPCP_L	Vpss|Cnut|Npl	{MB}lu{MB}t	#
V_BACK_TUPCP_L	Vpss|Cnut|Nsg	{MB}tu	#
V_BACK_TUPCP_L	Vpss|Tpast|Ppe4|Ncon	{MB}tu	V_BACK_CLIT_KIN_KAAN_OPT
V_BACK_TUPCP_N	Dtu	{DB}	A_PANTU
V_BACK_TUPCP_N	Vpss|Cnut|Npl	{MB}nu{MB}t	#
V_BACK_TUPCP_N	Vpss|Cnut|Nsg	{MB}tu	#
V_BACK_TUPCP_N	Vpss|Tpast|Ppe4|Ncon	{MB}tu	V_BACK_CLIT_KIN_KAAN_OPT
V_BACK_TUPCP_R	Dtu	{DB}	A_PURTU
V_BACK_TUPCP_R	Vpss|Cnut|Npl	{MB}ru{MB}t	#
V_BACK_TUPCP_R	Vpss|Cnut|Nsg	{MB}tu	#
V_BACK_TUPCP_R	Vpss|Tpast|Ppe4|Ncon	{MB}tu	V_BACK_CLIT_KIN_KAAN_OPT
V_BACK_TUPCP_STRONG	Dtu	%{DB}tu	A_VALKAISTU
V_BACK_TUPCP_STRONG	Vpss|Cnut|Npl	{MB}tu{MB}t	#
