lemma	homonym	lex
jäljemmäs	ADV	Comp
jäljempänä	ADV	Comp|locative
jäljempää	ADV	Comp
jämerästi	ADV	dersti
jämptisti	ADV	dersti
jämttisti	ADV	dersti
jämäkästi	ADV	dersti
jännittävämmin	ADV	Comp
jännittävästi	ADV	dersti
jännästi	ADV	dersti
jänskästi	ADV	dersti
jäntevästi	ADV	dersti
järeämmin	ADV	Comp
järeästi	ADV	dersti
järjellisesti	ADV	dersti
järjestelmällisesti	ADV	dersti
järjettömästi	ADV	dersti
järkevämmin	ADV	Comp
järkevästi	ADV	dersti
järkiperäisesti	ADV	dersti
järkkymättömästi	ADV	dersti
järkyttävästi	ADV	dersti
järkähtämättömästi	ADV	dersti
jäyhästi	ADV	dersti
jäykästi	ADV	dersti
jäännöksettömästi	ADV	dersti
jääräpäisesti	ADV	dersti
jäätävästi	ADV	dersti
kaameasti	ADV	dersti
kaarevasti	ADV	dersti
kaavamaisesti	ADV	dersti
kahdenkeskisesti	ADV	dersti
kahdesti	ADV	dersti
kaihoisasti	ADV	dersti
kaikuvasti	ADV	dersti
kainosti	ADV	dersti
kaksinapaisesti	ADV	dersti
kaksinkertaisesti	ADV	dersti
kaksittain	ADV	derttain
kalseasti	ADV	dersti
kamalasti	ADV	dersti
kammottavasti	ADV	dersti
kanamaisesti	ADV	dersti
kankeasti	ADV	dersti
kannuittain	ADV	derttain
kansainvälisesti	ADV	dersti
kansallisesti	ADV	dersti
kansanomaisesti	ADV	dersti
kansantajuisesti	ADV	dersti
kansanvaltaisesti	ADV	dersti
kantamuksittain	ADV	derttain
kaoottisesti	ADV	dersti
kapeasti	ADV	dersti
kapillaarisesti	ADV	dersti
kapoittain	ADV	derttain
kappaleittain	ADV	derttain
karheasti	ADV	dersti
karjalaisittain	ADV	derttain
karkeasti	ADV	dersti
karmeasti	ADV	dersti
karsaasti	ADV	dersti
karskisti	ADV	dersti
kartografisesti	ADV	dersti
karusti	ADV	dersti
karvaasti	ADV	dersti
kasoittain	ADV	derttain
katalasti	ADV	dersti
kategorisesti	ADV	dersti
katkerasti	ADV	dersti
katkonaisesti	ADV	dersti
kauemma	ADV	Comp
kauemmaksi	ADV	Comp
kauemmas	ADV	Comp
kauemmin	ADV	Comp
kauempaa	ADV	Comp
kauempana	ADV	Comp
kauheasti	ADV	dersti
kauimma	ADV	Superl
