lemma	homonym	argument
haaraantua	1	intransitive
haarautua	1	intransitive
haarniskoida	1	intransitive
haaroa	1	intransitive
haaroittaa	1	intransitive
haaroittua	1	intransitive
haarottaa	1	intransitive
haarukoida	1	intransitive
haasioida	1	intransitive
haaskaantua	1	intransitive
haaskata	1	intransitive
haaskautua	1	intransitive
haastaa	1	intransitive
haastatella	1	intransitive
haastattaa	1	intransitive
haastella	1	intransitive
haavautua	1	intransitive
haaveilla	1	intransitive
haaveksia	1	intransitive
haavia	1	intransitive
haavoittaa	1	intransitive
haavoittua	1	intransitive
haeskella	1	intransitive
haettaa	1	intransitive
haetuttaa	1	intransitive
hahattaa	1	intransitive
hahmontaa	1	intransitive
hahmotella	1	intransitive
hahmottaa	1	intransitive
hahmottua	1	intransitive
hahmoutua	1	intransitive
haihatella	1	intransitive
haihduttaa	1	intransitive
haihtua	1	intransitive
haikailla	1	intransitive
haipua	1	intransitive
hairahtaa	1	intransitive
hairahtua	1	intransitive
hairata	1	intransitive
haisahtaa	1	intransitive
haiskahtaa	1	intransitive
haista	1	intransitive
haistaa	1	intransitive
haistatella	1	intransitive
haistattaa	1	intransitive
haistella	1	intransitive
haitata	1	intransitive
haivertaa	1	intransitive
hajaannuttaa	1	intransitive
hajaantua	1	intransitive
hajahtaa	1	intransitive
hajakeskittää	1	intransitive
hajakylvää	1	intransitive
hajasijoittaa	1	intransitive
hajauttaa	1	intransitive
hajautua	1	intransitive
hajoittaa	1	intransitive
hajota	1	intransitive
hajottaa	1	intransitive
hajottua	1	intransitive
hajustaa	1	intransitive
hakata	1	intransitive
hakautua	1	intransitive
hakea	2	intransitive
hakettaa	1	intransitive
hakeutua	1	intransitive
hakkaantua	1	intransitive
hakkailla	1	intransitive
hakkauttaa	1	intransitive
hakkautua	1	intransitive
hakkeroida	1	intransitive
hakkuuttaa	1	intransitive
haksahtaa	1	intransitive
haksahtua	1	intransitive
halailla	1	intransitive
halaista	1	intransitive
halata	1	intransitive
halata	2	intransitive
halia	1	intransitive
haljeta	1	intransitive
halkaista	1	intransitive
halkeilla	1	intransitive
halkoa	1	intransitive
hallinnoida	1	intransitive
hallita	1	intransitive
halogenoida	1	intransitive
halstaroida	1	intransitive
halsteroida	1	intransitive
halstrata	1	intransitive
haltioitua	1	intransitive
haltuunottaa	1	intransitive
haluta	1	intransitive
haluttaa	1	intransitive
halvaannuttaa	1	intransitive
halvaantua	1	intransitive
halvata	1	intransitive
halvauttaa	1	intransitive
halvautua	1	intransitive
halveerata	1	intransitive
halveksia	1	intransitive
halveksua	1	intransitive
halventaa	1	intransitive
halventua	1	intransitive
halveta	1	intransitive
hammastaa	1	intransitive
hammastella	1	intransitive
hammastua	1	intransitive
hampparoida	1	intransitive
hampsia	1	intransitive
hamstrata	1	intransitive
hamuilla	1	intransitive
hamuta	1	intransitive
hangata	1	intransitive
hangoitella	1	intransitive
hangota	1	intransitive
hankaantua	1	intransitive
hankaloittaa	1	intransitive
hankaloitua	1	intransitive
hankautua	1	intransitive
hankkia	1	intransitive
hankkiutua	1	intransitive
hapannuttaa	1	intransitive
hapantua	1	intransitive
haparoida	1	intransitive
hapata	1	intransitive
hapattaa	1	intransitive
hapertua	1	intransitive
hapettaa	1	intransitive
hapettua	1	intransitive
hapottaa	1	intransitive
hapottua	1	intransitive
happamoittaa	1	intransitive
happamoitua	1	intransitive
happopestä	1	intransitive
hapsottaa	1	intransitive
hapsuttaa	1	intransitive
hapuilla	1	intransitive
harata	1	intransitive
haravoida	1	intransitive
harhaanjohtaa	1	intransitive
harhaannuttaa	1	intransitive
harhaantua	1	intransitive
harhailla	1	intransitive
harhauttaa	1	intransitive
harhautua	1	intransitive
harittaa	1	intransitive
harjaannuttaa	1	intransitive
harjaantua	1	intransitive
harjata	1	intransitive
harjoitella	1	intransitive
harjoittaa	1	intransitive
harjoituttaa	1	intransitive
harkita	1	intransitive
harmaannuttaa	1	intransitive
harmaantua	1	intransitive
harmahtaa	1	intransitive
harmentaa	1	intransitive
harmentua	1	intransitive
harmeta	1	intransitive
harmistua	1	intransitive
harmitella	1	intransitive
harmittaa	1	intransitive
harmonioida	1	intransitive
harmonisoida	1	intransitive
harmonisoitua	1	intransitive
harmonistaa	1	intransitive
harmonistua	1	intransitive
haroa	1	intransitive
harottaa	1	intransitive
harpata	1	intransitive
harppailla	1	intransitive
harppia	1	intransitive
harppoa	1	intransitive
harppunoida	1	intransitive
harrastaa	1	intransitive
harrastella	1	intransitive
harrastua	1	intransitive
harsia	1	intransitive
harsuuntua	1	intransitive
hartsaantua	1	intransitive
hartsata	1	intransitive
hartsiintua	1	intransitive
hartsittaa	1	intransitive
harustaa	1	intransitive
harventaa	1	intransitive
harventua	1	intransitive
harveta	1	intransitive
harvinaistua	1	intransitive
hassahtaa	1	intransitive
hassata	1	intransitive
hassutella	1	intransitive
hassuttaa	1	intransitive
hattuuntua	1	intransitive
hatuttaa	1	intransitive
haudata	1	intransitive
haudella	1	intransitive
haudottaa	1	intransitive
hauduttaa	1	intransitive
haukahtaa	1	intransitive
haukata	1	intransitive
haukkoa	1	intransitive
haukkua	1	intransitive
haukotella	1	intransitive
haukottaa	1	intransitive
haukotuttaa	1	intransitive
haukuskella	1	intransitive
haurastaa	1	intransitive
haurastua	1	intransitive
haurastuttaa	1	intransitive
hauskuttaa	1	intransitive
hauskuuttaa	1	intransitive
hautaantua	1	intransitive
hautautua	1	intransitive
hautoa	1	intransitive
hautoutua	1	intransitive
hautua	1	intransitive
havahduttaa	1	intransitive
havahtua	1	intransitive
havainnoida	1	intransitive
