lemma	new_paras	homonym
asutustilallinen	['A_AAKKOSELLINEN']	1
asutustilallinen	['N_AAKKOSTAMINEN']	2
atakapa	['N_KIRJA']	1
atakapa	['N_SALPA']	2
Atanas	['N_PUNK']	1
Atanas	['N_VAKUUTUS']	2
atari	['N_KANAALI']	1
atari	['N_RUUVI']	2
ateenalainen	['A_AAKKOSELLINEN']	1
ateenalainen	['N_AAKKOSTAMINEN']	2
atk	['ACRO_OO',	1
atk	['ACRO_OO',	2
Atlas	['N_PATSAS']	1
Atlas	['N_VAKUUTUS']	2
atsidi	['A_ABNORMI']	1
atsidi	['N_RUUVI']	2
ATTAC	['ACRO_EE']	1
ATTAC	['N_PUNK']	2
Attavyros	['N_PUNK']	1
Attavyros	['N_VAKUUTUS']	2
Attávyros	['N_PUNK']	1
Attávyros	['N_VAKUUTUS']	2
aueta	['V_NIUKETA']	1
aueta	['V_POIKETA']	2
aukea	['A_KORKEA']	1
aukea	['N_SOKEA']	2
Aukeanrimpi	['N_LAMMI']	1
Aukeanrimpi	['N_SAMPI']	2
Aukearimpi	['N_LAMMI']	1
Aukearimpi	['N_SAMPI']	2
Aulanko	['N_RUNKO']	1
Aulanko	['N_TALO']	2
Aulis	['N_RUUMIS']	1
Aulis	['N_VAKUUTUS']	2
Aunee	['N_JOCKEY']	1
Aunee	['N_TOKEE']	2
auralainen	['A_AAKKOSELLINEN']	1
auralainen	['N_AAKKOSTAMINEN']	2
Aurora	['N_ASEMA']	1
Aurora	['N_KITARA']	2
australialainen	['A_AAKKOSELLINEN']	1
australialainen	['N_AAKKOSTAMINEN']	2
austronesialainen	['A_AAKKOSELLINEN']	1
austronesialainen	['N_AAKKOSTAMINEN']	2
autoton	['A_VIATON']	1
autoton	['N_OSATON']	2
Autti	['N_KORTTI']	1
Autti	['N_RUUVI']	2
Autto	['N_HIRTTO']	1
Autto	['N_TALO']	2
av	['ACRO_EE',	1
av	['N_VAASAN']	2
AVEA	['ACRO_AA']	1
AVEA	['N_FIFA']	2
avenue	['N_FONDUE']	1
avenue	['N_ZOMBIE']	2
Avis	['N_PUNK']	1
Avis	['N_VAKUUTUS']	2
avustava	['A_RUMA']	1
avustava	['N_VOIMA']	2
Axellus	['N_PUNK']	1
Axellus	['N_VAKUUTUS']	2
Axios	['N_PUNK']	1
Axios	['N_VAKUUTUS']	2
Axiós	['N_PUNK']	1
Axiós	['N_VAKUUTUS']	2
azerbaidžanilainen	['A_AAKKOSELLINEN']	1
azerbaidžanilainen	['N_AAKKOSTAMINEN']	2
azeri	['N_KANAALI']	1
azeri	['N_RUUVI']	2
BAE	['ACRO_EE']	1
BAE	['N_NALLE']	2
bahamalainen	['A_AAKKOSELLINEN']	1
bahamalainen	['N_AAKKOSTAMINEN']	2
bahrainilainen	['A_AAKKOSELLINEN']	1
bahrainilainen	['N_AAKKOSTAMINEN']	2
BAIC	['ACRO_EE']	1
BAIC	['N_PUNK']	2
baijerilainen	['A_AAKKOSELLINEN']	1
baijerilainen	['N_AAKKOSTAMINEN']	2
bakteroidi	['A_ABNORMI']	1
bakteroidi	['N_RUUVI']	2
bangladeshilainen	['A_AAKKOSELLINEN']	1
bangladeshilainen	['N_AAKKOSTAMINEN']	2
bangladeshiläinen	['A_KYLMÄJÄRKINEN']	1
bangladeshiläinen	['N_KYLKIÄINEN']	2
bar	['N_PUNK']	1
bar	['PCLE_VAAN']	2
barbadoslainen	['A_AAKKOSELLINEN']	1
barbadoslainen	['N_AAKKOSTAMINEN']	2
Barbie	['N_BRASSERIE']	1
Barbie	['N_ZOMBIE']	2
Barrie	['N_BRASSERIE']	1
Barrie	['N_ZOMBIE']	2
BASF	['ACRO_ÄKS']	1
BASF	['N_PUNK']	2
Basse-Normandie	['N_BRASSERIE']	1
Basse-Normandie	['N_ZOMBIE']	2
BATS	['ACRO_ÄKS']	1
BATS	['N_PUNK']	2
BBC	['ACRO_EE']	1
BBC	['ACRO_EE',	2
Beauharnois	['N_NOUGAT']	1
Beauharnois	['N_PUNK']	2
beesi	['A_STYDI']	1
beesi	['N_TYYLI']	2
beige	['A_BEIGE']	1
beige	['N_NISSE']	2
belgialainen	['A_AAKKOSELLINEN']	1
belgialainen	['N_AAKKOSTAMINEN']	2
belizeläinen	['A_KYLMÄJÄRKINEN']	1
belizeläinen	['N_KYLKIÄINEN']	2
bengali	['N_KANAALI']	1
bengali	['N_RUUVI']	2
bengalilainen	['A_AAKKOSELLINEN']	1
bengalilainen	['N_AAKKOSTAMINEN']	2
beniniläinen	['A_KYLMÄJÄRKINEN']	1
beniniläinen	['N_KYLKIÄINEN']	2
berliiniläinen	['A_KYLMÄJÄRKINEN']	1
berliiniläinen	['N_KYLKIÄINEN']	2
Bermuda	['N_KIRJA']	1
Bermuda	['N_PUNK']	2
bermudalainen	['A_AAKKOSELLINEN']	1
bermudalainen	['N_AAKKOSTAMINEN']	2
Bertaux	['N_BORDEAUX']	1
Bertaux	['N_PUNK']	2
bhutanilainen	['A_AAKKOSELLINEN']	1
bhutanilainen	['N_AAKKOSTAMINEN']	2
Biatorbagy	['N_KÄRRY']	1
Biatorbagy	['N_ZEN']	2
Biatorbágy	['N_KÄRRY']	1
Biatorbágy	['N_ZEN']	2
Biaudet	['N_BEIGNET']	1
Biaudet	['N_PUNK']	2
biljardi	['N_KANAALI']	1
biljardi	['NUM_MILJARDI']	2
biljoonasosa	['NUM_KOLMASOSA']	1
biljoonasosa	['N_VOIMA']	2
BIS	['ACRO_ÄKS']	1
BIS	['N_ZEN']	2
Bisset	['N_BEIGNET']	1
Bisset	['N_ZEN']	2
Blackie	['N_BRASSERIE']	1
Blackie	['N_ZOMBIE']	2
Blois	['N_NOUGAT']	1
Blois	['N_PUNK']	2
blondi	['A_ABNORMI']	1
blondi	['N_RUUVI']	2
Bo	['N_ESQUIMAU']	1
Bo	['N_TALO']	2
BOA	['ACRO_AA']	1
BOA	['N_FIFA']	2
Bobigny	['N_KÄRRY']	1
Bobigny	['N_SPOTIFY']	2
boheemi	['A_ABNORMI']	1
boheemi	['N_RUUVI']	2
boksinahka	['N_KIRJA']	1
boksinahka	['N_VIKA']	2
bolivialainen	['A_AAKKOSELLINEN']	1
bolivialainen	['N_AAKKOSTAMINEN']	2
Bordeaux	['N_BORDEAUX']	1
Bordeaux	['N_PUNK']	2
Boris	['N_PUNK']	1
Boris	['N_VAKUUTUS']	2
bosniahertsegovinalainen	['A_AAKKOSELLINEN']	1
bosniahertsegovinalainen	['N_AAKKOSTAMINEN']	2
Botswana	['N_KIRJA']	1
Botswana	['N_MAKKARA']	2
botswanalainen	['A_AAKKOSELLINEN']	1
botswanalainen	['N_AAKKOSTAMINEN']	2
Bouquet	['N_BEIGNET']	1
Bouquet	['N_PUNK']	2
Bouret	['N_BEIGNET']	1
Bouret	['N_PUNK']	2
bouvet’nsaarelainen	['A_AAKKOSELLINEN']	1
bouvet’nsaarelainen	['N_AAKKOSTAMINEN']	2
Bowie	['N_BRASSERIE']	1
Bowie	['N_NALLE']	2
Bowie	['N_ZOMBIE']	3
brasilialainen	['A_AAKKOSELLINEN']	1
brasilialainen	['N_AAKKOSTAMINEN']	2
brazzavillenkongolainen	['A_AAKKOSELLINEN']	1
brazzavillenkongolainen	['N_AAKKOSTAMINEN']	2
britannialainen	['A_AAKKOSELLINEN']	1
britannialainen	['N_AAKKOSTAMINEN']	2
Britney	['N_JOCKEY']	1
Britney	['N_KÄRRY']	2
brittiläinen	['A_KYLMÄJÄRKINEN']	1
brittiläinen	['N_KYLKIÄINEN']	2
bruneilainen	['A_AAKKOSELLINEN']	1
bruneilainen	['N_AAKKOSTAMINEN']	2
brändöläinen	['A_KYLMÄJÄRKINEN']	1
brändöläinen	['N_KYLKIÄINEN']	2
buddhalainen	['A_AAKKOSELLINEN']	1
buddhalainen	['N_AAKKOSTAMINEN']	2
bulgarialainen	['A_AAKKOSELLINEN']	1
bulgarialainen	['N_AAKKOSTAMINEN']	2
burkinalainen	['A_AAKKOSELLINEN']	1
burkinalainen	['N_AAKKOSTAMINEN']	2
burmalainen	['A_AAKKOSELLINEN']	1
burmalainen	['N_AAKKOSTAMINEN']	2
Burnie	['N_BRASSERIE']	1
Burnie	['N_ZOMBIE']	2
burundilainen	['A_AAKKOSELLINEN']	1
burundilainen	['N_AAKKOSTAMINEN']	2
BYD	['ACRO_EE']	1
BYD	['N_ZEN']	2
Byh’au	['N_KUNGFU']	1
Byh’au	['N_KUNGFU']	2
böömiläinen	['A_KYLMÄJÄRKINEN']	1
böömiläinen	['N_KYLKIÄINEN']	2
caddie	['N_NALLE']	1
caddie	['N_ZOMBIE']	2
CAF	['ACRO_ÄKS']	1
CAF	['N_PUNK']	2
Carlos	['N_PUNK']	1
